# alpha_over_ac  kappa  ratio
5.500683129723831807e-06 4.774626934341050233e-01 4.000017893264628394e-02
1.260036776309010793e-02 4.725767436274917466e-01 4.041373899279709914e-02
2.519523484305049091e-02 4.676997664414654921e-01 4.083515652860113948e-02
3.779010192301087562e-02 4.628318237021865622e-01 4.126464990729895865e-02
5.038496900297124992e-02 4.579729776597547541e-01 4.170244556484836718e-02
6.297983608293163116e-02 4.531232909363726025e-01 4.214877838559231288e-02
7.557470316289202628e-02 4.482828265057739459e-01 4.260389210065232413e-02
8.816957024285240752e-02 4.434516477322091310e-01 4.306803970330642939e-02
1.007644373228128026e-01 4.386298182814404312e-01 4.354148390060683105e-02
1.133593044027731839e-01 4.338174021480316056e-01 4.402449757999892660e-02
1.259541714827335512e-01 4.290144635060006428e-01 4.451736432135535576e-02
1.385490385626939325e-01 4.242210669194595440e-01 4.502037890224202393e-02
1.511439056426543415e-01 4.194372770735976808e-01 4.553384788371171721e-02
1.637387727226147227e-01 4.146631588437880156e-01 4.605809019610122845e-02
1.763336398025751039e-01 4.098987772276483366e-01 4.659343777554261767e-02
1.889285068825354574e-01 4.051441972759272647e-01 4.714023624043210681e-02
2.015233739624958664e-01 4.003994840639680808e-01 4.769884560584557870e-02
2.141182410424562754e-01 3.956647027954285356e-01 4.826964102709468268e-02
2.267131081224166289e-01 3.909399183261946797e-01 4.885301366204268525e-02
2.393079752023769824e-01 3.862251954706577006e-01 4.944937149362747114e-02
2.519028422823373914e-01 3.815205988387291303e-01 5.005914026440422965e-02
2.644977093622977726e-01 3.768261925594445505e-01 5.068276448966489017e-02
2.770925764422581539e-01 3.721420404121119074e-01 5.132070848506544575e-02
2.896874435222185351e-01 3.674682055639807987e-01 5.197345751781547868e-02
3.022823106021789163e-01 3.628047505482107082e-01 5.264151900483330510e-02
3.148771776821393531e-01 3.581517370977926884e-01 5.332542381558406930e-02
3.274720447620996788e-01 3.535092257843877595e-01 5.402572769819605214e-02
3.400669118420600601e-01 3.488772760979728660e-01 5.474301274257859645e-02
3.526617789220204413e-01 3.442559464740155284e-01 5.547788895628853051e-02
3.652566460019808781e-01 3.396452933197927626e-01 5.623099612054736907e-02
3.778515130819412038e-01 3.350453714174768671e-01 5.700300556377482786e-02
3.904463801619015850e-01 3.304562337112661452e-01 5.779462216988984213e-02
4.030412472418620218e-01 3.258779306165805467e-01 5.860658662859359602e-02
4.156361143218224030e-01 3.213105094171871956e-01 5.943967785451415020e-02
4.282309814017827843e-01 3.167540148416590484e-01 6.029471538213829196e-02
4.408258484817431100e-01 3.122084880424062514e-01 6.117256225408369136e-02
4.534207155617035467e-01 3.076739657454349852e-01 6.207412812701007532e-02
4.660155826416639280e-01 3.031504806457588908e-01 6.300037239045239157e-02
4.786104497216242537e-01 2.986380600099463045e-01 6.395230792214277871e-02
4.912053168015846349e-01 2.941367250667862865e-01 6.493100501710875883e-02
5.038001838815450162e-01 2.896464905574629434e-01 6.593759563345537311e-02
5.163950509615055084e-01 2.851673638952032519e-01 6.697327811343103954e-02
5.289899180414658897e-01 2.806993435930187353e-01 6.803932252409600201e-02
5.415847851214261599e-01 2.762424186413925398e-01 6.913707628595777699e-02
5.541796522013865411e-01 2.717965667236104110e-01 7.026797064161879880e-02
5.667745192813470334e-01 2.673617528124540565e-01 7.143352768346229731e-02
5.793693863613073036e-01 2.629379280909368566e-01 7.263536801135137000e-02
5.919642534412676849e-01 2.585250266721269008e-01 7.387521980705233360e-02
6.045591205212281771e-01 2.541229642928691801e-01 7.515492834019076029e-02
6.171539876011885584e-01 2.497316348844952349e-01 7.647646714786789091e-02
6.297488546811489396e-01 2.453509078385225362e-01 7.784195028777787795e-02
6.423437217611092098e-01 2.409806233427939648e-01 7.925364664635201062e-02
6.549385888410697021e-01 2.366205894700778578e-01 8.071399540420202967e-02
6.675334559210300833e-01 2.322705755134636396e-01 8.222562470001881785e-02
6.801283230009903535e-01 2.279303060436460582e-01 8.379137247054052606e-02
6.927231900809508458e-01 2.235994544072591461e-01 8.541431025248247266e-02
7.053180571609112270e-01 2.192776312739992961e-01 8.709777217158420903e-02
7.179129242408714973e-01 2.149643769137679628e-01 8.884538659486244938e-02
7.305077913208319895e-01 2.106591449534952754e-01 9.066111597122265831e-02
7.431026584007923708e-01 2.063612883844868073e-01 9.254930186054786956e-02
7.556975254807526410e-01 2.020700358578721711e-01 9.451472154169661410e-02
7.682923925607131332e-01 1.977844707463854712e-01 9.656265276517654594e-02
7.808872596406734035e-01 1.935034936588310717e-01 9.869895788393598379e-02
7.934821267206338957e-01 1.892257864559812597e-01 1.009301825545339121e-01
8.060769938005942770e-01 1.849497524499626178e-01 1.032636860446433102e-01
8.186718608805545472e-01 1.806734530848518872e-01 1.057077995960919170e-01
8.312667279605150394e-01 1.763945069481337724e-01 1.082720403342440907e-01
8.438615950404754207e-01 1.721099673298204791e-01 1.109673859528897827e-01
8.564564621204359129e-01 1.678161403085248471e-01 1.138066525419739877e-01
8.690513292003961832e-01 1.635083345557025725e-01 1.168050131690449023e-01
8.816461962803565644e-01 1.591804912744586020e-01 1.199807402158201280e-01
8.942410633603169456e-01 1.548246247822468169e-01 1.233563019958140994e-01
9.068359304402773269e-01 1.504299379710430651e-01 1.269600548177040045e-01
9.194307975202377081e-01 1.459813683439158960e-01 1.308289776133162163e-01
9.320256646001980894e-01 1.414570192118949632e-01 1.350134003772466285e-01
9.446205316801584706e-01 1.368232365609457490e-01 1.395858894371371783e-01
9.572153987601187408e-01 1.320241056180720685e-01 1.446598943550285732e-01
