# alpha_over_ac  K_primary  K_conv  kappa_primary  kappa_conv  delta
5.500683129723831807e-06 4.669348694877098183e+01 3.735474778407086660e+01 4.774626934341050233e-01 3.819697275789677993e-01 9.999972041860000216e-01
1.260036776309010793e-02 4.621566525366312561e+01 3.687692608896300328e+01 4.725767436274917466e-01 3.770837777723545226e-01 9.935809084810000025e-01
2.519523484305049091e-02 4.573872103641487286e+01 3.639998187171475763e+01 4.676997664414654921e-01 3.722068005863282680e-01 9.871348060329999674e-01
3.779010192301087562e-02 4.526266034331853660e+01 3.592392117861841427e+01 4.628318237021865622e-01 3.673388578470493382e-01 9.806583915879999447e-01
5.038496900297124992e-02 4.478748926212559667e+01 3.544875009742547434e+01 4.579729776597547541e-01 3.624800118046175301e-01 9.741511442269999987e-01
6.297983608293163116e-02 4.431321391697734668e+01 3.497447475227722435e+01 4.531232909363726025e-01 3.576303250812353784e-01 9.676125266070000341e-01
7.557470316289202628e-02 4.383984046639310606e+01 3.450110130169298372e+01 4.482828265057739459e-01 3.527898606506367218e-01 9.610419842030000215e-01
8.816957024285240752e-02 4.336737510708276488e+01 3.402863594238264255e+01 4.434516477322091310e-01 3.479586818770719070e-01 9.544389445890000268e-01
1.007644373228128026e-01 4.289582406524258573e+01 3.355708490054247051e+01 4.386298182814404312e-01 3.431368524263032072e-01 9.478028164999999783e-01
1.133593044027731839e-01 4.242519359922400923e+01 3.308645443452388690e+01 4.338174021480316056e-01 3.383244362928943816e-01 9.411329890030000200e-01
1.259541714827335512e-01 4.195548998492817816e+01 3.261675082022805583e+01 4.290144635060006428e-01 3.335214976508634188e-01 9.344288303709999965e-01
1.385490385626939325e-01 4.148671953640552346e+01 3.214798037170540113e+01 4.242210669194595440e-01 3.287281010643223200e-01 9.276896874009999960e-01
1.511439056426543415e-01 4.101888857954723022e+01 3.168014941484711144e+01 4.194372770735976808e-01 3.239443112184604567e-01 9.209148840040000117e-01
1.637387727226147227e-01 4.055200345884350810e+01 3.121326429414338932e+01 4.146631588437880156e-01 3.191701929886507916e-01 9.141037201989999916e-01
1.763336398025751039e-01 4.008607053073949089e+01 3.074733136603937211e+01 4.098987772276483366e-01 3.144058113725111125e-01 9.072554708450000227e-01
1.889285068825354574e-01 3.962109615687626274e+01 3.028235699217614041e+01 4.051441972759272647e-01 3.096512314207900407e-01 9.003693842929999525e-01
2.015233739624958664e-01 3.915708670130011626e+01 2.981834753659999748e+01 4.003994840639680808e-01 3.049065182088308568e-01 8.934446810130000083e-01
2.141182410424562754e-01 3.869404854060589827e+01 2.935530937590577594e+01 3.956647027954285356e-01 3.001717369402913116e-01 8.864805523280000488e-01
