# alpha_over_ac  K_bare  plasma
5.494802677802778550e-04 5.360273169892063372e+00 0.000000000000000000e+00
1.059443501255017545e-02 5.305588454732651726e+00 0.000000000000000000e+00
2.063938975732007228e-02 5.250983337265532569e+00 0.000000000000000000e+00
3.068434450208997258e-02 5.196458255151068961e+00 0.000000000000000000e+00
4.072929924685986941e-02 5.142013648402420145e+00 0.000000000000000000e+00
5.077425399162976277e-02 5.087649959101278263e+00 0.000000000000000000e+00
6.081920873639966307e-02 5.033367631721172408e+00 0.000000000000000000e+00
7.086416348116955644e-02 4.979167112201580814e+00 0.000000000000000000e+00
8.090911822593946368e-02 4.925048849238271131e+00 0.000000000000000000e+00
9.095407297070935704e-02 4.871013293091646545e+00 0.000000000000000000e+00
1.009990277154792504e-01 4.817060895083775662e+00 0.000000000000000000e+00
1.110439824602491576e-01 4.763192109666434249e+00 0.000000000000000000e+00
1.210889372050190510e-01 4.709407391277052213e+00 0.000000000000000000e+00
1.311338919497889444e-01 4.655707196948625004e+00 0.000000000000000000e+00
1.411788466945588516e-01 4.602091984161048366e+00 0.000000000000000000e+00
1.512238014393287311e-01 4.548562211787635867e+00 0.000000000000000000e+00
1.612687561840986383e-01 4.495118339996370338e+00 0.000000000000000000e+00
1.713137109288685456e-01 4.441760827556550772e+00 0.000000000000000000e+00
1.813586656736384528e-01 4.388490136820101917e+00 0.000000000000000000e+00
1.914036204184083600e-01 4.335306728409817012e+00 0.000000000000000000e+00
2.014485751631782395e-01 4.282211063263233974e+00 0.000000000000000000e+00
2.114935299079481190e-01 4.229203602897299241e+00 0.000000000000000000e+00
2.215384846527180540e-01 4.176284804905100678e+00 0.000000000000000000e+00
2.315834393974879613e-01 4.123455131000133278e+00 0.000000000000000000e+00
2.416283941422578407e-01 4.070715037989118379e+00 0.000000000000000000e+00
2.516733488870277480e-01 4.018064981999033058e+00 0.000000000000000000e+00
2.617183036317976552e-01 3.965505418270506510e+00 0.000000000000000000e+00
2.717632583765675625e-01 3.913036794818134378e+00 0.000000000000000000e+00
2.818082131213374142e-01 3.860659562955569335e+00 0.000000000000000000e+00
2.918531678661073214e-01 3.808374166691322227e+00 0.000000000000000000e+00
3.018981226108772287e-01 3.756181047045231036e+00 0.000000000000000000e+00
3.119430773556471359e-01 3.704080636215184352e+00 0.000000000000000000e+00
3.219880321004170431e-01 3.652073367391243330e+00 0.000000000000000000e+00
3.320329868451868949e-01 3.600159662994405263e+00 0.000000000000000000e+00
3.420779415899568021e-01 3.548339940118315994e+00 0.000000000000000000e+00
3.521228963347267649e-01 3.496614603531535970e+00 0.000000000000000000e+00
3.621678510794966166e-01 3.444984055364167297e+00 0.000000000000000000e+00
3.722128058242664683e-01 3.393448682604351507e+00 0.000000000000000000e+00
3.822577605690364311e-01 3.342008864041851268e+00 0.000000000000000000e+00
3.923027153138063383e-01 3.290664959529918221e+00 0.000000000000000000e+00
4.023476700585761900e-01 3.239417322921454900e+00 0.000000000000000000e+00
4.123926248033460973e-01 3.188266288206154986e+00 0.000000000000000000e+00
4.224375795481159490e-01 3.137212167900527593e+00 0.000000000000000000e+00
4.324825342928859118e-01 3.086255262960008405e+00 0.000000000000000000e+00
4.425274890376558190e-01 3.035395846826983046e+00 0.000000000000000000e+00
4.525724437824256707e-01 2.984634172762122617e+00 0.000000000000000000e+00
4.626173985271956335e-01 2.933970463371587734e+00 0.000000000000000000e+00
4.726623532719654852e-01 2.883404912506490891e+00 0.000000000000000000e+00
4.827073080167353925e-01 2.832937686797550203e+00 0.000000000000000000e+00
4.927522627615052442e-01 2.782568912537124906e+00 0.000000000000000000e+00
5.027972175062751514e-01 2.732298680273671287e+00 0.000000000000000000e+00
5.128421722510451142e-01 2.682127026805363190e+00 0.000000000000000000e+00
5.228871269958149659e-01 2.632053955094859177e+00 0.000000000000000000e+00
5.329320817405848176e-01 2.582079405605442801e+00 0.000000000000000000e+00
5.429770364853547804e-01 2.532203260359211949e+00 0.000000000000000000e+00
5.530219912301247431e-01 2.482425331649505740e+00 0.000000000000000000e+00
5.630669459748945949e-01 2.432745373142097378e+00 0.000000000000000000e+00
5.731119007196644466e-01 2.383163038036132164e+00 0.000000000000000000e+00
5.831568554644342983e-01 2.333677907322948553e+00 0.000000000000000000e+00
5.932018102092042611e-01 2.284289449904479241e+00 0.000000000000000000e+00
6.032467649539741128e-01 2.234997023537762750e+00 0.000000000000000000e+00
6.132917196987440756e-01 2.185799873571697027e+00 0.000000000000000000e+00
6.233366744435140383e-01 2.136697090032212198e+00 0.000000000000000000e+00
6.333816291882838900e-01 2.087687621768778978e+00 0.000000000000000000e+00
