# t_A  delta_phys  delta_sqrt  delta_bkt  delta_c
1.000000000000000021e-03 1.994038140280000038e-01 1.994038140280000038e-01 1.560417875624318744e-05 1.817956018219515357e-01
1.029324479312309975e-03 1.996653811549999880e-01 1.996601243904313483e-01 1.828966105914717777e-05 1.817956018219515357e-01
1.059508883711559029e-03 1.999309143620000007e-01 1.999201656825630447e-01 2.138852962096242144e-05 1.817956018219515357e-01
1.090578430053167156e-03 2.002004845370000119e-01 2.001839922129150240e-01 2.495634207697134603e-05 1.817956018219515357e-01
1.122559074663712683e-03 2.004741656179999942e-01 2.004516590805381915e-01 2.905491779397823403e-05 1.817956018219515357e-01
1.155477535025535617e-03 2.007520273149999979e-01 2.007232221865215271e-01 3.375288384301112658e-05 1.817956018219515357e-01
1.189361312097230762e-03 2.010339779639999935e-01 2.009987382456668858e-01 3.912624998207236640e-05 1.817956018219515357e-01
1.224238713288687769e-03 2.013202599939999948e-01 2.012782647983336060e-01 4.525901225739869052e-05 1.817956018219515357e-01
1.260138876109850739e-03 2.016109598609999998e-01 2.015618602224555911e-01 5.224378460701248615e-05 1.817956018219515357e-01
1.297091792512972781e-03 2.019059994590000073e-01 2.018495837457332520e-01 6.018245761448570729e-05 1.817956018219515357e-01
1.335128333948686508e-03 2.022055376899999923e-01 2.021414954580029733e-01 6.918688331533011208e-05 1.817956018219515357e-01
1.374280277156843559e-03 2.025097056600000112e-01 2.024376563237866300e-01 7.937958470502951111e-05 1.817956018219515357e-01
1.414580330713646273e-03 2.028183880030000052e-01 2.027381281950238201e-01 9.089448833831791780e-05 1.817956018219515357e-01
1.456062162357259085e-03 2.031318999560000060e-01 2.030429738239892812e-01 1.038776781459754454e-04 1.817956018219515357e-01
1.498760427114741818e-03 2.034500616419999963e-01 2.033522568763984628e-01 1.184881683303403159e-04 1.817956018219515357e-01
1.542710796253776761e-03 2.037731694730000043e-01 2.036660419447039738e-01 1.348986929361991108e-04 1.817956018219515357e-01
1.587949987083399350e-03 2.041011746470000054e-01 2.039843945615852083e-01 1.532965094321858657e-04 1.817956018219515357e-01
1.634515793628609241e-03 2.044341650460000104e-01 2.043073812136347589e-01 1.738842133816563291e-04 1.817956018219515357e-01
1.682447118204515295e-03 2.047723037779999866e-01 2.046350693552437261e-01 1.968805610338017714e-04 1.817956018219515357e-01
1.731784003916360826e-03 2.051155998539999914e-01 2.049675274226894772e-01 2.225212964279215896e-04 1.817956018219515357e-01
1.782567668112595288e-03 2.054640899550000122e-01 2.053048248484279636e-01 2.510599793788687310e-04 1.817956018219515357e-01
1.834840536818955516e-03 2.058179431640000112e-01 2.056470320755946768e-01 2.827688105020812219e-04 1.817956018219515357e-01
1.888646280182292416e-03 2.061772312400000084e-01 2.059942205727163522e-01 3.179394492446742230e-04 1.817956018219515357e-01
1.944029848953769159e-03 2.065420311660000063e-01 2.063464628486366692e-01 3.568838207170629460e-04 1.817956018219515357e-01
2.001037512041926869e-03 2.069124250330000025e-01 2.067038324676596373e-01 3.999349069696383455e-04 1.817956018219515357e-01
2.059716895166958418e-03 2.072884999329999978e-01 2.070664040649131121e-01 4.474475182329930452e-04 1.817956018219515357e-01
2.120117020648497157e-03 2.076703478730000108e-01 2.074342533619359386e-01 4.997990395399896533e-04 1.817956018219515357e-01
2.182288348360180222e-03 2.080580656969999997e-01 2.078074571824923000e-01 5.573901480750755857e-04 1.817956018219515357e-01
2.246282817885163294e-03 2.084517550299999911e-01 2.081860934686157460e-01 6.206454965519563093e-04 1.817956018219515357e-01
2.312153891907836167e-03 2.088515222279999917e-01 2.085702412968872821e-01 6.900143579063517697e-04 1.817956018219515357e-01
2.379956600877964484e-03 2.092574524109999945e-01 2.089599808949500481e-01 7.659712266066236045e-04 1.817956018219515357e-01
2.449747588984605828e-03 2.096695713249999982e-01 2.093553936582646102e-01 8.490163719325278168e-04 1.817956018219515357e-01
2.521585161478168309e-03 2.100880954430000003e-01 2.097565621671079461e-01 9.396763386511078819e-04 1.817956018219515357e-01
2.595529333380162517e-03 2.105131047090000040e-01 2.101635702038201492e-01 1.038504390629260482e-03 1.817956018219515357e-01
2.671641879621362500e-03 2.109446151540000092e-01 2.105765027703018211e-01 1.146080893064232217e-03 1.817956018219515357e-01
2.749986386650219924e-03 2.113828775190000064e-01 2.109954461057665098e-01 1.263013629185775859e-03 1.817956018219515357e-01
2.830628305554680913e-03 2.118278363370000028e-01 2.114204877047513587e-01 1.389938047486335678e-03 1.817956018219515357e-01
2.913635006741758116e-03 2.122797391400000067e-01 2.118517163353899335e-01 1.527517435767020929e-03 1.817956018219515357e-01
2.999075836220578811e-03 2.127386509679999871e-01 2.122892220579510603e-01 1.676443018546351421e-03 1.817956018219515357e-01
3.087022173535880574e-03 2.132046300690000062e-01 2.127330962436476958e-01 1.837433974663958344e-03 1.817956018219515357e-01
3.177547491400375436e-03 2.136778707429999868e-01 2.131834315937190805e-01 2.011237372220951464e-03 1.817956018219515357e-01
3.270727417075828050e-03 2.141584746029999986e-01 2.136403221587914181e-01 2.198628018330817547e-03 1.817956018219515357e-01
3.366639795554076438e-03 2.146465503090000115e-01 2.141038633585196083e-01 2.400408221506641730e-03 1.817956018219515357e-01
3.465364754590801160e-03 2.151422134019999877e-01 2.145741520015153891e-01 2.617407464880660856e-03 1.817956018219515357e-01
3.566984771646406968e-03 2.156455861669999974e-01 2.150512863055653867e-01 2.850481988837796996e-03 1.817956018219515357e-01
3.671584742789880257e-03 2.161567975149999987e-01 2.155353659181435400e-01 3.100514282042938011e-03 1.817956018219515357e-01
3.779252053623214681e-03 2.166759828819999900e-01 2.160264919372218428e-01 3.368412480250577903e-03 1.817956018219515357e-01
3.890076652285693465e-03 2.172032841519999924e-01 2.165247669323845381e-01 3.655109672701641055e-03 1.817956018219515357e-01
4.004151124598944941e-03 2.177388495889999998e-01 2.170302949662490377e-01 3.961563116332772819e-03 1.817956018219515357e-01
4.121570771415613427e-03 2.182827445789999876e-01 2.175431816161992327e-01 4.288753358446651016e-03 1.817956018219515357e-01
4.242433688236211392e-03 2.188351659399999927e-01 2.180635339964346053e-01 4.637683268913398577e-03 1.817956018219515357e-01
4.366840847160741168e-03 2.193962599969999927e-01 2.185914607803408072e-01 5.009376983392094598e-03 1.817956018219515357e-01
4.494896181243460305e-03 2.199661266990000086e-01 2.191270722231855039e-01 5.404878759472943849e-03 1.817956018219515357e-01
4.626706671321314905e-03 2.205449426609999986e-01 2.196704801851447897e-01 5.825251748044536944e-03 1.817956018219515357e-01
4.762382435388603542e-03 2.211328827909999906e-01 2.202217981546646108e-01 6.271576682582491458e-03 1.817956018219515357e-01
4.902036820592464011e-03 2.217300243610000055e-01 2.207811412721625011e-01 6.744950489433741356e-03 1.817956018219515357e-01
5.045786497926114424e-03 2.223365646590000078e-01 2.213486263540740406e-01 7.246484822533604681e-03 1.817956018219515357e-01
5.193751559698881783e-03 2.229526675029999960e-01 2.219243719172494800e-01 7.777304526336483587e-03 1.817956018219515357e-01
5.346055619864554381e-03 2.235784872609999918e-01 2.225084982037055514e-01 8.338546031065936781e-03 1.817956018219515357e-01
5.502825917291729804e-03 2.242141867790000131e-01 2.231011272057374928e-01 8.931355684691544977e-03 1.817956018219515357e-01
5.664193422062594602e-03 2.248599372450000022e-01 2.237023826913965285e-01 9.556888026320348173e-03 1.817956018219515357e-01
5.830292944888790414e-03 2.255158842080000059e-01 2.243123902303384154e-01 1.021630400594405325e-02 1.817956018219515357e-01
6.001263249735894027e-03 2.261821925459999993e-01 2.249312772200481036e-01 1.091076915571268999e-02 1.817956018219515357e-01
6.177247169750500408e-03 2.268590945199999986e-01 2.255591729124460376e-01 1.164145171810681417e-02 1.817956018219515357e-01
6.358391726586873696e-03 2.275466969240000081e-01 2.261962084408820906e-01 1.240952073655508282e-02 1.817956018219515357e-01
6.544848253232739277e-03 2.282452548449999952e-01 2.268425168475220743e-01 1.321614411418941745e-02 1.817956018219515357e-01
6.736772520436870929e-03 2.289548629819999903e-01 2.274982331111329581e-01 1.406248664654803637e-02 1.817956018219515357e-01
6.934324866844159344e-03 2.296757822849999908e-01 2.281634941752727908e-01 1.494970803412580887e-02 1.817956018219515357e-01
7.137670332946766984e-03 2.304081871900000023e-01 2.288384389768906846e-01 1.587896088073037504e-02 1.817956018219515357e-01
7.346978798963360417e-03 2.311522627220000126e-01 2.295232084753431878e-01 1.685138868363577833e-02 1.817956018219515357e-01
7.562425126761540724e-03 2.319082042700000013e-01 2.302179456818330694e-01 1.786812382152750539e-02 1.817956018219515357e-01
7.784189305942152207e-03 2.326762173960000013e-01 2.309227956892766498e-01 1.893028554621048465e-02 1.817956018219515357e-01
8.012456604207364094e-03 2.334565176679999909e-01 2.316379057026057564e-01 2.003897798399953412e-02 1.817956018219515357e-01
8.247417722138224161e-03 2.342493305249999935e-01 2.323634250695108816e-01 2.119528815263582722e-02 1.817956018219515357e-01
8.489268952511045199e-03 2.350547964589999872e-01 2.330995053116318716e-01 2.240028399947216822e-02 1.817956018219515357e-01
8.738212344285590030e-03 2.358732335919999923e-01 2.338463001562025023e-01 2.365501246654289416e-02 1.817956018219515357e-01
8.994455871402172800e-03 2.367047662750000059e-01 2.346039655681557701e-01 2.496049758798798285e-02 1.817956018219515357e-01
9.258213606528589018e-03 2.375496895539999931e-01 2.353726597826965306e-01 2.631773862513053092e-02 1.817956018219515357e-01
9.529705899902193855e-03 2.384082164530000048e-01 2.361525433383482864e-01 2.772770824431950235e-02 1.817956018219515357e-01
9.809159563416273292e-03 2.392805723750000002e-01 2.369437791104808677e-01 2.919135074243973602e-02 1.817956018219515357e-01
1.009680806010481921e-02 2.401669948390000031e-01 2.377465323453263057e-01 3.070958032477051625e-02 1.817956018219515357e-01
1.039289169918373307e-02 2.410677332560000052e-01 2.385609706944899489e-01 3.228327943963160696e-02 1.817956018219515357e-01
1.069765783681152389e-02 2.419830487390000062e-01 2.393872642499635384e-01 3.391329717400477783e-02 1.817956018219515357e-01
1.101136108273727786e-02 2.429131590370000038e-01 2.402255855796483486e-01 3.560044771405382336e-02 1.817956018219515357e-01
1.133426351300838818e-02 2.438583578909999938e-01 2.410761097633953298e-01 3.734550887419002541e-02 1.817956018219515357e-01
1.166663488891587185e-02 2.448188716499999917e-01 2.419390144295695544e-01 3.914922069804777083e-02 1.817956018219515357e-01
1.200875288236016337e-02 2.457950001089999892e-01 2.428144797921474307e-01 4.101228413444335530e-02 1.817956018219515357e-01
