# alpha_over_ac  K_primary  eta_sw  eta_sw  eta_sw
5.500683129723831807e-06 4.669348694877098183e+01 3.408504129633960818e-03 3.408504129633960818e-03 3.408504129633960818e-03
1.260036776309010793e-02 4.621566525366312561e+01 3.443744501314529270e-03 3.443744501314529270e-03 3.443744501314529270e-03
2.519523484305049091e-02 4.573872103641487286e+01 3.479654425955289697e-03 3.479654425955289697e-03 3.479654425955289697e-03
3.779010192301087562e-02 4.526266034331853660e+01 3.516252511114032701e-03 3.516252511114032701e-03 3.516252511114032701e-03
5.038496900297124992e-02 4.478748926212559667e+01 3.553558051901878692e-03 3.553558051901878692e-03 3.553558051901878692e-03
6.297983608293163116e-02 4.431321391697734668e+01 3.591591063335617014e-03 3.591591063335617014e-03 3.591591063335617014e-03
7.557470316289202628e-02 4.383984046639310606e+01 3.630372314285697927e-03 3.630372314285697927e-03 3.630372314285697927e-03
8.816957024285240752e-02 4.336737510708276488e+01 3.669923362871509165e-03 3.669923362871509165e-03 3.669923362871509165e-03
1.007644373228128026e-01 4.289582406524258573e+01 3.710266594944718749e-03 3.710266594944718749e-03 3.710266594944718749e-03
1.133593044027731839e-01 4.242519359922400923e+01 3.751425263850921652e-03 3.751425263850921652e-03 3.751425263850921652e-03
1.259541714827335512e-01 4.195548998492817816e+01 3.793423534061195635e-03 3.793423534061195635e-03 3.793423534061195635e-03
1.385490385626939325e-01 4.148671953640552346e+01 3.836286524226947825e-03 3.836286524226947825e-03 3.836286524226947825e-03
1.511439056426543415e-01 4.101888857954723022e+01 3.880040357096679014e-03 3.880040357096679014e-03 3.880040357096679014e-03
1.637387727226147227e-01 4.055200345884350810e+01 3.924712209433073654e-03 3.924712209433073654e-03 3.924712209433073654e-03
1.763336398025751039e-01 4.008607053073949089e+01 3.970330366251524114e-03 3.970330366251524114e-03 3.970330366251524114e-03
1.889285068825354574e-01 3.962109615687626274e+01 4.016924278463555875e-03 4.016924278463555875e-03 4.016924278463555875e-03
2.015233739624958664e-01 3.915708670130011626e+01 4.064524623753762965e-03 4.064524623753762965e-03 4.064524623753762965e-03
2.141182410424562754e-01 3.869404854060589827e+01 4.113163369939867343e-03 4.113163369939867343e-03 4.113163369939867343e-03
2.267131081224166289e-01 3.823198801737807884e+01 4.162873848452573050e-03 4.162873848452573050e-03 4.162873848452573050e-03
2.393079752023769824e-01 3.777091147014314743e+01 4.213690824424580657e-03 4.213690824424580657e-03 4.213690824424580657e-03
2.519028422823373914e-01 3.731082521743049085e+01 4.265650576325043415e-03 4.265650576325043415e-03 4.265650576325043415e-03
2.644977093622977726e-01 3.685173553074221076e+01 4.318790982289726424e-03 4.318790982289726424e-03 4.318790982289726424e-03
2.770925764422581539e-01 3.639364864737878946e+01 4.373151607687411277e-03 4.373151607687411277e-03 4.373151607687411277e-03
2.896874435222185351e-01 3.593657074478441871e+01 4.428773803215321075e-03 4.428773803215321075e-03 4.428773803215321075e-03
3.022823106021789163e-01 3.548050793839242090e+01 4.485700806996576785e-03 4.485700806996576785e-03 4.485700806996576785e-03
3.148771776821393531e-01 3.502546626538360641e+01 4.543977855597926968e-03 4.543977855597926968e-03 4.543977855597926968e-03
3.274720447620996788e-01 3.457145164936646609e+01 4.603652305552286342e-03 4.603652305552286342e-03 4.603652305552286342e-03
3.400669118420600601e-01 3.411846990816614067e+01 4.664773758034270433e-03 4.664773758034270433e-03 4.664773758034270433e-03
3.526617789220204413e-01 3.366652675648197146e+01 4.727394193143268086e-03 4.727394193143268086e-03 4.727394193143268086e-03
3.652566460019808781e-01 3.321562771066631825e+01 4.791568128058797463e-03 4.791568128058797463e-03 4.791568128058797463e-03
3.778515130819412038e-01 3.276577812814433344e+01 4.857352768167235227e-03 4.857352768167235227e-03 4.857352768167235227e-03
3.904463801619015850e-01 3.231698318659643121e+01 4.924808178193604974e-03 4.924808178193604974e-03 4.924808178193604974e-03
4.030412472418620218e-01 3.186924781640101756e+01 4.993997473953203960e-03 4.993997473953203960e-03 4.993997473953203960e-03
4.156361143218224030e-01 3.142257664167635411e+01 5.064987028492283147e-03 5.064987028492283147e-03 5.064987028492283147e-03
4.282309814017827843e-01 3.097697403665537763e+01 5.137846676165516539e-03 5.137846676165516539e-03 5.137846676165516539e-03
