# a_over_ac  alpha  delta_phys  delta_unst
0.00000000  0.00000000  1.0  nan
0.00454338  0.00082597  0.997688843264  nan
0.00908676  0.00165193  0.995373849004  nan
0.01363014  0.00247790  0.993054994174  nan
0.01817352  0.00330387  0.990732255499  nan
0.02271689  0.00412983  0.988405609426  nan
0.02726027  0.00495580  0.986075032156  nan
0.03180365  0.00578176  0.983740499634  nan
0.03634703  0.00660773  0.981401987506  nan
0.04089041  0.00743370  0.979059471179  nan
0.04543379  0.00825966  0.976712925778  nan
0.04997717  0.00908563  0.974362326141  nan
0.05452055  0.00991160  0.972007646809  nan
0.05906393  0.01073756  0.969648862039  nan
0.06360731  0.01156353  0.967285945813  nan
0.06815068  0.01238949  0.964918871798  nan
0.07269406  0.01321546  0.962547613357  nan
0.07723744  0.01404143  0.960172143544  nan
0.08178082  0.01486739  0.957792435097  nan
0.08632420  0.01569336  0.955408460438  nan
0.09086758  0.01651933  0.953020191661  nan
0.09541096  0.01734529  0.950627600533  nan
0.09995434  0.01817126  0.948230658434  nan
0.10449772  0.01899723  0.945829336482  nan
0.10904110  0.01982319  0.943423605425  nan
0.11358447  0.02064916  0.941013435654  nan
0.11812785  0.02147512  0.938598797121  nan
0.12267123  0.02230109  0.936179659512  nan
0.12721461  0.02312706  0.933755992167  nan
0.13175799  0.02395302  0.931327763839  nan
0.13630137  0.02477899  0.928894943186  nan
0.14084475  0.02560496  0.926457498215  nan
0.14538813  0.02643092  0.924015396733  nan
0.14993151  0.02725689  0.921568605933  nan
0.15447489  0.02808285  0.919117092853  nan
0.15901826  0.02890882  0.916660823785  nan
0.16356164  0.02973479  0.91419976488  nan
0.16810502  0.03056075  0.911733881754  nan
0.17264840  0.03138672  0.909263139474  nan
0.17719178  0.03221269  0.90678750272  nan
0.18173516  0.03303865  0.904306935784  nan
0.18627854  0.03386462  0.901821402409  nan
0.19082192  0.03469059  0.899330865858  nan
0.19536530  0.03551655  0.896835288903  nan
0.19990868  0.03634252  0.894334633817  nan
0.20445205  0.03716848  0.891828862368  nan
0.20899543  0.03799445  0.889317935804  nan
0.21353881  0.03882042  0.886801814849  nan
0.21808219  0.03964638  0.884280459688  nan
0.22262557  0.04047235  0.881753829963  nan
0.22716895  0.04129832  0.879221884558  nan
0.23171233  0.04212428  0.876684582112  nan
0.23625571  0.04295025  0.874141880585  nan
0.24079909  0.04377621  0.871593737084  nan
0.24534247  0.04460218  0.86904010841  nan
0.24988584  0.04542815  0.866480950661  nan
0.25442922  0.04625411  0.863916219118  nan
0.25897260  0.04708008  0.861345868712  nan
0.26351598  0.04790605  0.858769853495  nan
0.26805936  0.04873201  0.856188126808  nan
0.27260274  0.04955798  0.853600641599  nan
0.27714612  0.05038395  0.851007349801  nan
0.28168950  0.05120991  0.84840820258  nan
0.28623288  0.05203588  0.845803150706  nan
0.29077626  0.05286184  0.84319214398  nan
0.29531963  0.05368781  0.840575131439  nan
0.29986301  0.05451378  0.837952061342  nan
0.30440639  0.05533974  0.835322881147  nan
0.30894977  0.05616571  0.832687537504  nan
0.31349315  0.05699168  0.830045976229  nan
0.31803653  0.05781764  0.827398142293  nan
0.32257991  0.05864361  0.824743979727  nan
0.32712329  0.05946957  0.822083431471  nan
0.33166667  0.06029554  0.819416440097  1.681696e-06
0.33621005  0.06112151  0.8167429469  7.476839e-06
0.34075342  0.06194747  0.814062891806  1.3117379e-05
0.34529680  0.06277344  0.811376214785  1.8609423e-05
0.34984018  0.06359941  0.808682853438  2.3958759e-05
0.35438356  0.06442537  0.805982745755  2.9170877e-05
0.35892694  0.06525134  0.803275827529  3.4250991e-05
0.36347032  0.06607731  0.800562034017  3.9204052e-05
0.36801370  0.06690327  0.797841299421  4.4034768e-05
0.37255708  0.06772924  0.795113556577  4.8747616e-05
0.37710046  0.06855520  0.792378737111  5.334686e-05
0.38164384  0.06938117  0.789636771499  5.7836556e-05
0.38618721  0.07020714  0.786887589201  6.2220574e-05
0.39073059  0.07103310  0.784131118266  6.6502601e-05
0.39527397  0.07185907  0.781367285341  7.0686154e-05
