# a_over_ac alpha delta_unst
0.33166667 0.06029554 1.681696e-06
0.33621005 0.06112151 7.476839e-06
0.34075342 0.06194747 1.3117379e-05
0.34529680 0.06277344 1.8609423e-05
0.34984018 0.06359941 2.3958759e-05
0.35438356 0.06442537 2.9170877e-05
0.35892694 0.06525134 3.4250991e-05
0.36347032 0.06607731 3.9204052e-05
0.36801370 0.06690327 4.4034768e-05
0.37255708 0.06772924 4.8747616e-05
0.37710046 0.06855520 5.334686e-05
0.38164384 0.06938117 5.7836556e-05
0.38618721 0.07020714 6.2220574e-05
0.39073059 0.07103310 6.6502601e-05
0.39527397 0.07185907 7.0686154e-05
0.39981735 0.07268504 7.4774594e-05
0.40436073 0.07351100 7.8771126e-05
0.40890411 0.07433697 8.2678815e-05
0.41344749 0.07516294 8.6500591e-05
0.41799087 0.07598890 9.0239258e-05
0.42253425 0.07681487 9.3897495e-05
0.42707763 0.07764083 9.7477872e-05
0.43162100 0.07846680 0.000100982848
0.43616438 0.07929277 0.000104414779
0.44070776 0.08011873 0.000107775926
0.44525114 0.08094470 0.000111068457
0.44979452 0.08177067 0.00011429445
0.45433790 0.08259663 0.000117455904
0.45888128 0.08342260 0.000120554735
0.46342466 0.08424856 0.000123592786
0.46796804 0.08507453 0.000130020928
0.47251142 0.08590050 0.000150561435
0.47705479 0.08672646 0.000170709875
0.48159817 0.08755243 0.000190477366
0.48614155 0.08837840 0.000209874612
0.49068493 0.08920436 0.000228911917
0.49522831 0.09003033 0.000247599209
0.49977169 0.09085630 0.000276523599
0.50431507 0.09168226 0.000307288203
0.50885845 0.09250823 0.000337501596
0.51340183 0.09333419 0.000367178461
0.51794521 0.09416016 0.000404668677
0.52248858 0.09498613 0.000445057114
0.52703196 0.09581209 0.000484746019
0.53157534 0.09663806 0.000530357381
0.53611872 0.09746403 0.000579828332
0.54066210 0.09828999 0.000629017568
0.54520548 0.09911596 0.000687599196
0.54974886 0.09994192 0.000745205834
0.55429224 0.10076789 0.000811218423
0.55883562 0.10159386 0.000877383884
0.56337900 0.10241982 0.000952392678
0.56792237 0.10324579 0.001029589954
0.57246575 0.10407176 0.001112004096
0.57700913 0.10489772 0.001201102521
0.58155251 0.10572369 0.001294641269
0.58609589 0.10654966 0.001393492996
0.59063927 0.10737562 0.001498541223
0.59518265 0.10820159 0.001610876913
0.59972603 0.10902755 0.001729478876
0.60426941 0.10985352 0.001854748935
0.60881279 0.11067949 0.001986996928
0.61335616 0.11150545 0.00212648859
0.61789954 0.11233142 0.002274619542
0.62244292 0.11315739 0.002430557045
0.62698630 0.11398335 0.002594357702
0.63152968 0.11480932 0.002766770129
0.63607306 0.11563528 0.002948826603
0.64061644 0.11646125 0.00313946034
0.64515982 0.11728722 0.003340474767
