# lambda  alpha  delta_phys  Delta_meV  red_pct
0.02000000  0.00429003  0.98795390  0.59277234  1.204610
0.02520440  0.00540638  0.98480198  0.59088119  1.519802
0.03040881  0.00652273  0.98164282  0.58898569  1.835718
0.03561321  0.00763909  0.97847634  0.58708581  2.152366
0.04081761  0.00875544  0.97530250  0.58518150  2.469750
0.04602201  0.00987179  0.97212122  0.58327273  2.787878
0.05122642  0.01098814  0.96893244  0.58135946  3.106756
0.05643082  0.01210449  0.96573610  0.57944166  3.426390
0.06163522  0.01322085  0.96253214  0.57751928  3.746786
0.06683962  0.01433720  0.95932048  0.57559229  4.067952
0.07204403  0.01545355  0.95610106  0.57366063  4.389894
0.07724843  0.01656990  0.95287381  0.57172429  4.712619
0.08245283  0.01768626  0.94963866  0.56978320  5.036134
0.08765723  0.01880261  0.94639554  0.56783733  5.360446
0.09286164  0.01991896  0.94314438  0.56588663  5.685562
0.09806604  0.02103531  0.93988511  0.56393106  6.011489
0.10327044  0.02215166  0.93661764  0.56197059  6.338236
0.10847484  0.02326802  0.93334191  0.56000515  6.665809
0.11367925  0.02438437  0.93005784  0.55803471  6.994216
0.11888365  0.02550072  0.92676536  0.55605921  7.323464
0.12408805  0.02661707  0.92346437  0.55407862  7.653563
0.12929245  0.02773342  0.92015480  0.55209288  7.984520
0.13449686  0.02884978  0.91683657  0.55010194  8.316343
0.13970126  0.02996613  0.91350959  0.54810576  8.649041
0.14490566  0.03108248  0.91017379  0.54610427  8.982621
0.15011006  0.03219883  0.90682906  0.54409744  9.317094
0.15531447  0.03331519  0.90347534  0.54208520  9.652466
0.16051887  0.03443154  0.90011251  0.54006751  9.988749
0.16572327  0.03554789  0.89674050  0.53804430  10.325950
0.17092767  0.03666424  0.89335922  0.53601553  10.664078
0.17613208  0.03778059  0.88996855  0.53398113  11.003145
0.18133648  0.03889695  0.88656842  0.53194105  11.343158
0.18654088  0.04001330  0.88315872  0.52989523  11.684128
0.19174528  0.04112965  0.87973935  0.52784361  12.026065
0.19694969  0.04224600  0.87631021  0.52578613  12.368979
0.20215409  0.04336235  0.87287120  0.52372272  12.712880
0.20735849  0.04447871  0.86942220  0.52165332  13.057780
0.21256289  0.04559506  0.86596312  0.51957787  13.403688
0.21776730  0.04671141  0.86249384  0.51749630  13.750616
0.22297170  0.04782776  0.85901425  0.51540855  14.098575
0.22817610  0.04894412  0.85552423  0.51331454  14.447577
0.23338050  0.05006047  0.85202367  0.51121420  14.797633
0.23858491  0.05117682  0.84851245  0.50910747  15.148755
0.24378931  0.05229317  0.84499045  0.50699427  15.500955
0.24899371  0.05340952  0.84145754  0.50487452  15.854246
0.25419811  0.05452588  0.83791359  0.50274816  16.208641
0.25940252  0.05564223  0.83435849  0.50061509  16.564151
0.26460692  0.05675858  0.83079208  0.49847525  16.920792
0.26981132  0.05787493  0.82721425  0.49632855  17.278575
0.27501572  0.05899128  0.82362485  0.49417491  17.637515
0.28022013  0.06010764  0.82002374  0.49201424  17.997626
0.28542453  0.06122399  0.81641078  0.48984647  18.358922
0.29062893  0.06234034  0.81278582  0.48767149  18.721418
0.29583333  0.06345669  0.80914870  0.48548922  19.085130
0.30103774  0.06457305  0.80549929  0.48329957  19.450071
0.30624214  0.06568940  0.80183741  0.48110244  19.816259
0.31144654  0.06680575  0.79816290  0.47889774  20.183710
0.31665094  0.06792210  0.79447561  0.47668537  20.552439
0.32185535  0.06903845  0.79077536  0.47446522  20.922464
0.32705975  0.07015481  0.78706199  0.47223719  21.293801
0.33226415  0.07127116  0.78333530  0.47000118  21.666470
0.33746855  0.07238751  0.77959513  0.46775708  22.040487
0.34267296  0.07350386  0.77584129  0.46550477  22.415871
0.34787736  0.07462021  0.77207358  0.46324415  22.792642
0.35308176  0.07573657  0.76829181  0.46097509  23.170819
0.35828616  0.07685292  0.76449579  0.45869747  23.550421
0.36349057  0.07796927  0.76068530  0.45641118  23.931470
