# ell  K  y  alpha  alpha_over_ac
0.000000000000000000e+00 4.289862516460664743e+00 1.370680962853044332e-02 3.639803132657250251e-02 2.000000000000000111e-01
3.333333333333333287e-02 4.279892848449905252e+00 9.355032866505203631e-03 3.674154296631987338e-02 2.018875286779402978e-01
6.666666666666666574e-02 4.275261194200430381e+00 6.389554164297210799e-03 3.690116627217185363e-02 2.027646272463754784e-01
1.000000000000000056e-01 4.273103260437911111e+00 4.365596759891474631e-03 3.697554426338271749e-02 2.031733196316505285e-01
1.333333333333333315e-01 4.272096471257128769e+00 2.983216833982115911e-03 3.701024722492200769e-02 2.033640055576443062e-01
1.666666666666666574e-01 4.271626475176049098e+00 2.038724192658814688e-03 3.702644786825674827e-02 2.034530248960221832e-01
2.000000000000000111e-01 4.271406996072278694e+00 1.393307621043162522e-03 3.703401333861354450e-02 2.034945956627975394e-01
2.333333333333333370e-01 4.271304491483271626e+00 9.522306773676694237e-04 3.703754670158070084e-02 2.035140107950910993e-01
2.666666666666666630e-01 4.271256615939091894e+00 6.507905343047177063e-04 3.703919698939128757e-02 2.035230788009718683e-01
2.999999999999999889e-01 4.271234253788426471e+00 4.447763543102655056e-04 3.703996782189655085e-02 2.035273143734859236e-01
3.333333333333333148e-01 4.271223808644244002e+00 3.039780468887474918e-04 3.704032787048552877e-02 2.035292927694367926e-01
3.666666666666666408e-01 4.271218929941194453e+00 2.077510429097441684e-04 3.704049604150732450e-02 2.035302168360176855e-01
4.000000000000000222e-01 4.271216651184078117e+00 1.419857045222553847e-04 3.704057459126774282e-02 2.035306484514515513e-01
4.333333333333333481e-01 4.271215586802127540e+00 9.703896185909335176e-05 3.704061128098387612e-02 2.035308500542020171e-01
4.666666666666666741e-01 4.271215089640467255e+00 6.632045349786092926e-05 3.704062841836636144e-02 2.035309442207371977e-01
5.000000000000000000e-01 4.271214857424530109e+00 4.532612814968157349e-05 3.704063642295261916e-02 2.035309882043591923e-01
5.333333333333333259e-01 4.271214748966269958e+00 3.097780965815254660e-05 3.704064016155691336e-02 2.035310087472520790e-01
5.666666666666666519e-01 4.271214698315559666e+00 2.117176186932248318e-05 3.704064190750935154e-02 2.035310183409162199e-01
5.999999999999999778e-01 4.271214674657755062e+00 1.446981981934962888e-05 3.704064272300434946e-02 2.035310228219003037e-01
6.333333333333333037e-01 4.271214663603051243e+00 9.889062718427527569e-06 3.704064310406490063e-02 2.035310249157528395e-01
