# ell  K  y  Kinv
0.000000000000000000e+00 1.186973331273265231e+01 1.711142984686375365e-02 8.424789114067970930e-02
5.000000000000000278e-02 1.179960026998413980e+01 2.954946765756507644e-03 8.474863360785221678e-02
1.000000000000000056e-01 1.179751521409195725e+01 5.118355500631006265e-04 8.476361181594534167e-02
1.500000000000000222e-01 1.179745266235918599e+01 8.866465119922155725e-05 8.476406124438949641e-02
2.000000000000000111e-01 1.179745078531013647e+01 1.535931677267575771e-05 8.476407473088785893e-02
2.500000000000000000e-01 1.179745072898420055e+01 2.660690141587790380e-06 8.476407513558679996e-02
3.000000000000000444e-01 1.179745072729434519e+01 4.609073663624469235e-07 8.476407514772832386e-02
3.500000000000000333e-01 1.179745072724372612e+01 7.985596303373881317e-08 8.476407514809201904e-02
4.000000000000000222e-01 1.179745072724222332e+01 1.385056759573734529e-08 8.476407514810281596e-02
4.500000000000000111e-01 1.179745072724218069e+01 2.388104077287645853e-09 8.476407514810312127e-02
5.000000000000000000e-01 1.179745072724218069e+01 4.147117953556319749e-10 8.476407514810312127e-02
5.500000000000000444e-01 1.179745072724218069e+01 7.623823924061490859e-11 8.476407514810312127e-02
6.000000000000000888e-01 1.179745072724218069e+01 1.445066391107145502e-11 8.476407514810312127e-02
6.500000000000000222e-01 1.179745072724218069e+01 2.739067553904033755e-12 8.476407514810312127e-02
