# ell  K  y  Kinv
0.000000000000000000e+00 1.514108158822240568e+01 5.576639841318245527e-03 6.604547991986628452e-02
5.000000000000000278e-02 1.513148400857395082e+01 5.720228338080274441e-04 6.608737116817954560e-02
1.000000000000000056e-01 1.513138305849373921e+01 5.869437798308967650e-05 6.608781207469778540e-02
1.500000000000000222e-01 1.513138199564878050e+01 6.022581018406817339e-06 6.608781671677858849e-02
2.000000000000000111e-01 1.513138198445941640e+01 6.179911855781221690e-07 6.608781676564924601e-02
2.500000000000000000e-01 1.513138198434172033e+01 6.341453237714032006e-08 6.608781676616329315e-02
3.000000000000000444e-01 1.513138198434050352e+01 6.498614155836531228e-09 6.608781676616860834e-02
3.500000000000000333e-01 1.513138198434049464e+01 6.750158210957899419e-10 6.608781676616864997e-02
4.000000000000000222e-01 1.513138198434049464e+01 6.129541713520718996e-11 6.608781676616864997e-02
4.500000000000000111e-01 1.513138198434049464e+01 1.131854739086503513e-11 6.608781676616864997e-02
5.000000000000000000e-01 1.513138198434049464e+01 2.150612230628560105e-12 6.608781676616864997e-02
