lambda_min_GOE,lambda_min_GUE
-2.459420255240337694e-01,-1.506807273141580750e-01
-1.221362017793061333e-01,-1.407328517926035860e-01
-1.543350598913088012e-01,-1.758712612904211603e-01
-1.491461157739143173e-01,-1.499110981978115931e-01
-2.037636142790152094e-01,-1.251239773577980108e-01
-2.197520521877395772e-01,-2.063856726457788948e-01
-2.144870929452027120e-01,-2.214149861595154922e-01
-1.453054840210023235e-01,-1.825100175103585021e-01
-1.919979142027399832e-01,-2.033634414388999501e-01
-1.465025316948967704e-01,-1.370316010429327158e-01
-2.391869788376061179e-01,-1.909703860927352004e-01
-2.051749172480885897e-01,-1.802980622883409989e-01
-1.277915127064582768e-01,-1.841991516773660853e-01
-2.345642158019772272e-01,-1.762556042628507791e-01
-1.793545378838243276e-01,-2.014610304225544768e-01
-2.637721880512707839e-01,-1.854910903550212875e-01
-2.194294946827698711e-01,-1.493679389629344323e-01
-2.282913760013967064e-01,-2.222638351126549339e-01
-2.284999730640063231e-01,-1.941742605552312095e-01
-2.743230635546764495e-01,-2.368334344779792489e-01
-1.290256978987102954e-01,-1.264530686856269182e-01
-1.859289514079976724e-01,-1.612749431925944443e-01
-1.745692020947908207e-01,-1.455887832630373135e-01
-1.835644983771148042e-01,-1.484606692770008562e-01
-1.809973414914377021e-01,-1.525367238226468247e-01
-2.207123276966825032e-01,-1.609707000318492121e-01
-1.439005590848343175e-01,-2.168150113598389106e-01
-2.172967656927446700e-01,-2.005140190873143380e-01
-1.940742720872122851e-01,-1.999610623475540083e-01
-2.429688809837707575e-01,-1.761865367770038548e-01
-1.318995785736851167e-01,-1.365337617675514703e-01
-1.850638367190623468e-01,-2.207096139879491659e-01
-1.394065155959427205e-01,-1.536191088458645493e-01
-1.486479371430346197e-01,-1.232980366891254231e-01
-1.584882884536119030e-01,-1.865571194384814946e-01
-1.392931199524887198e-01,-1.255526932245569494e-01
-2.042646260993254692e-01,-1.976034814662012418e-01
-1.489270220098601882e-01,-1.469537723828545084e-01
-1.424311710068341397e-01,-1.774622025018194604e-01
-2.868461217522858542e-01,-2.180580357096776889e-01
-1.245555787523886654e-01,-1.189009152385860496e-01
-1.824893807192665973e-01,-2.044752731673646906e-01
-1.766281112442751877e-01,-1.527243436349597083e-01
-2.405663459583547159e-01,-1.680265724475007993e-01
-1.573655942188473544e-01,-1.740395080896603719e-01
-1.930123496939283312e-01,-1.877444883847948776e-01
-2.962679924784911711e-01,-2.458025008611155193e-01
-2.401147790761507528e-01,-2.184283212954739040e-01
-2.258426782520919218e-01,-1.814345262890743882e-01
-3.170658169457670206e-01,-1.993268683103589511e-01
-1.885894031322697117e-01,-1.418320750822057996e-01
-1.591423839268253371e-01,-1.683295805918615939e-01
-1.937303467205908347e-01,-1.696667352746534796e-01
-1.652478500635739811e-01,-1.359378531395251111e-01
-2.431576314417529250e-01,-1.735781292932571107e-01
-1.880480055587535615e-01,-1.943774490612629469e-01
-1.321038314069651054e-01,-9.446543077796568100e-02
-2.448971288256630019e-01,-1.407622981695757225e-01
-1.447968971278729144e-01,-1.435974140823304546e-01
-2.206058101713149200e-01,-2.249160557923671755e-01
-1.330573109752913874e-01,-2.078788531348208235e-01
-1.686377723456124744e-01,-1.237151576840150591e-01
-2.824248138256517104e-01,-1.694165352345309850e-01
-1.174940283472177271e-01,-1.553309611005499469e-01
-2.022346965779741601e-01,-1.595039258451357023e-01
-2.847905196110450121e-01,-1.855759612139847303e-01
-2.237447137550517828e-01,-1.802050082864054825e-01
-1.811436460494008360e-01,-1.204448007603825255e-01
-1.731112065832313140e-01,-1.241347991540027590e-01
-2.475924552971693893e-01,-1.822259430958542148e-01
-2.113167842232459015e-01,-2.206245259260962988e-01
-2.574037908126778906e-01,-1.825559181992051083e-01
-2.620842799439934145e-01,-1.745353682612524049e-01
-8.538394371326542276e-02,-1.768282854189515696e-01
-1.453379826465612812e-01,-1.547817897798829945e-01
-1.322168183758853366e-01,-1.257160923032893396e-01
-2.613267861658305491e-01,-1.487751431228698240e-01
-1.489351061444076918e-01,-1.025658964947253338e-01
-1.864372263429715515e-01,-2.082288295056956562e-01
-2.022179679191279944e-01,-1.928268737401043209e-01
-1.615215883737647629e-01,-1.808181362763685573e-01
-1.265392373031109241e-01,-1.323182061568927703e-01
-1.449948428269232092e-01,-1.842183883846508774e-01
-2.264024381896831417e-01,-1.847477982592022339e-01
-1.356396943857512416e-01,-1.366784462362102548e-01
-2.416378655137385034e-01,-1.769002146731896985e-01
-1.098002337025597019e-01,-1.487441658124459831e-01
-1.950263338477994657e-01,-1.244362389275271430e-01
-1.725842260288857621e-01,-1.607497924270630263e-01
-1.812737042609360305e-01,-1.950153644795891983e-01
-1.791256513941875961e-01,-1.565473803489131344e-01
-1.851464215689060389e-01,-1.758004275470022582e-01
-2.485654956369681701e-01,-1.693071304571874824e-01
-3.140617628037870590e-01,-2.805110477794348078e-01
-1.044488348744999628e-01,-1.666959750164483667e-01
-1.417581949088496107e-01,-1.101309800028127395e-01
-2.009674913814906150e-01,-1.997983214149335884e-01
-1.838992640831227932e-01,-1.639317151872768386e-01
-1.664189692573464774e-01,-1.738292137687073302e-01
-1.617647446078273321e-01,-1.876868313923597542e-01
-1.987456491515221246e-01,-1.858583389218142479e-01
-1.993861930370887658e-01,-1.828863937084490854e-01
-1.926988355821724341e-01,-1.431084029846911576e-01
-1.218251915427928100e-01,-1.575480748783014417e-01
-2.352196413372354133e-01,-2.092840296123717470e-01
-1.973887463936009612e-01,-1.386276773395967443e-01
-1.727160864259418283e-01,-2.063936890454506901e-01
-1.671017660310777364e-01,-1.364625048427864085e-01
-2.522489629924429266e-01,-1.557181650731474520e-01
-2.233024562304569693e-01,-1.950427390621294055e-01
-1.824780668224601776e-01,-1.853440364502085824e-01
-1.858364731972818040e-01,-1.532899886233279052e-01
-2.172474805315036672e-01,-2.002838425756288121e-01
-1.143728630505319310e-01,-1.534644769645671092e-01
-1.578274254773904262e-01,-1.502710862366611888e-01
-2.000545501100387813e-01,-1.658129912482083912e-01
-2.468550043722290699e-01,-1.752301631640957591e-01
-9.559359843863028672e-02,-1.772381834837725711e-01
-1.367179221048920590e-01,-1.810555923595452976e-01
-2.325689853955484609e-01,-1.657274786574861047e-01
-1.882191564769099268e-01,-2.487738325677302520e-01
-2.044829581430087362e-01,-1.686745576919986833e-01
-1.988374227095512925e-01,-1.594176208696581054e-01
-1.913920302372862647e-01,-1.490588665750765540e-01
-2.390890796119702344e-01,-2.296309149573282637e-01
-1.287246836307027742e-01,-1.119684913402224369e-01
-2.058308122734431866e-01,-1.887434283920980393e-01
-1.611191392525928856e-01,-1.949020839592816579e-01
-2.001010520727274089e-01,-2.098137969387520729e-01
-1.893806039951992926e-01,-1.621218144314753307e-01
-2.238260238185529327e-01,-1.397188721721470128e-01
-1.714058938870690885e-01,-1.814719789248707971e-01
-2.480957094908412541e-01,-2.382817055051505706e-01
-1.393494020582046466e-01,-1.707079357061570546e-01
-1.081986204703041937e-01,-1.114884245642502048e-01
-2.078482437909790481e-01,-1.929953907014682613e-01
-3.302510942060101762e-01,-1.711688726484595913e-01
-2.534023167925884001e-01,-1.892614657114728982e-01
-2.475931128332102271e-01,-2.375076647969662502e-01
-2.040755428112778769e-01,-1.298086512958828154e-01
-1.739685371592637753e-01,-1.625926214464119279e-01
-1.204085977112872158e-01,-1.873870005211445700e-01
-2.446538502932815162e-01,-1.991053642203490792e-01
-1.721762482329701194e-01,-1.808179942898563985e-01
-2.214396413134667452e-01,-1.377112407616150336e-01
-1.623097287707092606e-01,-1.143549566491591923e-01
-1.489470397379131228e-01,-1.721820117109493509e-01
-1.866435044344458005e-01,-1.597625310658148112e-01
-3.456813374226538338e-01,-2.446352283286218343e-01
-1.841357176417434127e-01,-1.248849827808937024e-01
-2.029538818721802196e-01,-1.402000173443493092e-01
-1.406637831011407769e-01,-1.903764245153756751e-01
-1.855003195203281385e-01,-1.905799863796769633e-01
-1.668139124324579670e-01,-1.698370443431580779e-01
-1.564477392963901647e-01,-1.332747830058431671e-01
-1.606761611159745473e-01,-1.366376957086072319e-01
-2.174383084046702663e-01,-1.946063399964490792e-01
-2.034586226614992777e-01,-1.674052659395433296e-01
-2.211393125777830759e-01,-1.734057636895786902e-01
-1.303234413725409824e-01,-1.300679422164549293e-01
-2.100517769781747868e-01,-2.383402895270794186e-01
-2.176917170549741987e-01,-2.109689004418789648e-01
-1.492935740908614695e-01,-2.126642194717553447e-01
-2.713527610639403509e-01,-2.215969795609840365e-01
-2.272731892872212334e-01,-2.014184399529475589e-01
-1.286834581762478502e-01,-1.504892903600971443e-01
-1.641292751403772565e-01,-1.778298695634929760e-01
-1.770007162209796259e-01,-1.795993775634649181e-01
-1.789485168099388679e-01,-1.801223072565904249e-01
-2.245099626813702731e-01,-2.111909458210513013e-01
-1.734256346855670428e-01,-1.308165145580094113e-01
-1.276480945176999005e-01,-1.230840711470648496e-01
-2.197047034940009802e-01,-1.523204288800051043e-01
-1.515293072115706241e-01,-1.616771109463526757e-01
-2.928561713723585314e-01,-2.071886011523316196e-01
-1.663602993890985482e-01,-1.560197262723453937e-01
-1.620905663759570070e-01,-1.601714642787412102e-01
-1.576618896538501402e-01,-1.682886402472895115e-01
-1.664113272708645230e-01,-1.451770938151493162e-01
-2.177636219176740384e-01,-1.862865845734950343e-01
-2.323577670182669919e-01,-2.115552085097955615e-01
-2.253150434911794231e-01,-1.867496381710908315e-01
-1.877324827016550457e-01,-1.987955466474565225e-01
-1.880556009298161024e-01,-2.263561014900360435e-01
-1.392447441883853110e-01,-1.590985693124881695e-01
-1.924424406928162135e-01,-1.843648932246742256e-01
-2.712527048270992891e-01,-1.879880215439529156e-01
-2.162917841787583006e-01,-1.885001588962085251e-01
-2.292009013013037999e-01,-1.966263403610748750e-01
-2.434491617877435621e-01,-2.025056568796604339e-01
-2.173985983253744203e-01,-2.003324111569123323e-01
-1.748988088326486334e-01,-1.841805786339841544e-01
-2.672455242032132916e-01,-2.029293356054834851e-01
-3.041868353185099294e-01,-2.117756517364328406e-01
-2.278562467320241758e-01,-2.046358252520580068e-01
-1.542701746404545882e-01,-1.650876191902858336e-01
-2.426264860155406822e-01,-1.537815437870346247e-01
-3.075198225119348816e-01,-2.038834217939164695e-01
-2.272478811552773315e-01,-1.758539157229911387e-01
-1.454241753467825915e-01,-1.198003341056436272e-01
-2.560872606010598518e-01,-1.810899533706779585e-01
-1.433346158747820231e-01,-1.948937333756837476e-01
-1.291639149650472551e-01,-1.551871536441067068e-01
-1.835246432208281764e-01,-2.240989548146277155e-01
-2.269982682101282512e-01,-1.412488361305303808e-01
-1.831509076569015071e-01,-1.643906547780893124e-01
-1.492439849311142375e-01,-2.551023595316671000e-01
-1.449634136581774424e-01,-1.826097570133769776e-01
-1.425147611478888021e-01,-1.406755016190949226e-01
-2.436534365499301580e-01,-2.365804070577541829e-01
-1.650025802030724853e-01,-1.539202189190131409e-01
-1.989685741248252149e-01,-1.752201279847459825e-01
-1.640265983903709257e-01,-1.628398628851339680e-01
-1.858514275872432953e-01,-1.067669352023888907e-01
-1.692222464010218752e-01,-1.574510991752422762e-01
-1.523673459206304759e-01,-1.747653777213108162e-01
