t_ps,Delta_live_meV,Delta_fold_of_A_meV,g1,A_um_inv,lorentzian,mu_nl_meV
0.000000000000000000e+00,5.999999999999999778e-01,2.324117557673080481e-01,8.730464002873027374e-01,1.402423214055054546e+00,1.000000000000000000e+00,-6.295833016458060594e-02
2.000000000000000042e-03,5.999997198633745255e-01,2.322696943644380063e-01,8.730459870366988895e-01,1.402731121351952437e+00,9.999999999128037498e-01,-6.275838728453290993e-02
4.000000000000000083e-03,5.999998379590847364e-01,2.321276017344715281e-01,8.730490032282084423e-01,1.403039096331209157e+00,9.999999999708253373e-01,-6.225142614945375352e-02
6.000000000000000125e-03,6.000003553192588823e-01,2.319854777455520600e-01,8.730543067061016238e-01,1.403347139278613875e+00,9.999999998597202122e-01,-6.166304989369237460e-02
8.000000000000000167e-03,6.000012733466134618e-01,2.318433222655318093e-01,8.730604513660878974e-01,1.403655250480586814e+00,9.999999981984315500e-01,-6.117007737893510877e-02
1.000000000000000021e-02,6.000025934725067289e-01,2.317011351621656168e-01,8.730665236087703507e-01,1.403963430223759357e+00,9.999999925265560252e-01,-6.084141204689588744e-02
1.200000000000000025e-02,6.000043169362185846e-01,2.315589163033759945e-01,8.730726860553388313e-01,1.404271678794399403e+00,9.999999792934022302e-01,-6.058690097615949954e-02
1.400000000000000029e-02,6.000064449183768467e-01,2.314166655574786680e-01,8.730799531988302498e-01,1.404579996477922643e+00,9.999999538478100414e-01,-6.021770885608264401e-02
1.600000000000000033e-02,6.000089787562709054e-01,2.312743827933435581e-01,8.730893026678082647e-01,1.404888383558543508e+00,9.999999104243810777e-01,-5.963595351963262708e-02
1.800000000000000211e-02,6.000119200187418178e-01,2.311320678805359186e-01,8.731008909479111013e-01,1.405196840318969409e+00,9.999998421257505488e-01,-5.892791804663845973e-02
2.000000000000000042e-02,6.000152704547334626e-01,2.309897206894772625e-01,8.731139267247803870e-01,1.405505367040051912e+00,9.999997409036364138e-01,-5.826672291351008004e-02
2.199999999999999872e-02,6.000190318482446772e-01,2.308473410916547230e-01,8.731271221374747871e-01,1.405813964000332872e+00,9.999995975432202089e-01,-5.779828434576247259e-02
2.400000000000000050e-02,6.000232059001816554e-01,2.307049289598705477e-01,8.731394184139088521e-01,1.406122631475503759e+00,9.999994016516878803e-01,-5.759743246106031889e-02
2.600000000000000228e-02,6.000277942683740484e-01,2.305624841684815740e-01,8.731506055518735154e-01,1.406431369737886516e+00,9.999991416436762037e-01,-5.762500757505371884e-02
2.800000000000000058e-02,6.000327986332635311e-01,2.304200065936219399e-01,8.731613756755726152e-01,1.406740179055951057e+00,9.999988047232686306e-01,-5.771876571420516550e-02
2.999999999999999889e-02,6.000382206569431220e-01,2.302774961134416987e-01,8.731727463430607461e-01,1.407049059693797899e+00,9.999983768708378129e-01,-5.769576416303501265e-02
3.200000000000000067e-02,6.000440619992349900e-01,2.301349526083432684e-01,8.731853743081342545e-01,1.407358011910645690e+00,9.999978428271238950e-01,-5.748333238937956835e-02
3.400000000000000244e-02,6.000503244438420980e-01,2.299923759611847141e-01,8.731992507036002715e-01,1.407667035960390667e+00,9.999971860638648957e-01,-5.714875463176419951e-02
3.600000000000000422e-02,6.000570098961249821e-01,2.298497660574879975e-01,8.732138146371341003e-01,1.407976132091155241e+00,9.999963887594232048e-01,-5.682433660996374231e-02
3.799999999999999906e-02,6.000641202326527646e-01,2.297071227856963826e-01,8.732283129233302521e-01,1.408285300544730223e+00,9.999954317939403481e-01,-5.660614724387417335e-02
4.000000000000000083e-02,6.000716572452915454e-01,2.295644460374503260e-01,8.732422261555734533e-01,1.408594541555976631e+00,9.999942947427693518e-01,-5.650484140005498229e-02
4.200000000000000261e-02,6.000796226936399025e-01,2.294217357078515984e-01,8.732555194915494479e-01,1.408903855352253487e+00,9.999929558570175292e-01,-5.647345091887867596e-02
4.399999999999999745e-02,6.000880183283828773e-01,2.292789916957234664e-01,8.732685377788454995e-01,1.409213242152853596e+00,9.999913920450625993e-01,-5.645115623203328381e-02
4.599999999999999922e-02,6.000968459013976686e-01,2.291362139038718715e-01,8.732816650448446127e-01,1.409522702168437780e+00,9.999895788545818398e-01,-5.638167680683728311e-02
4.800000000000000100e-02,6.001061071210526121e-01,2.289934022393618762e-01,8.732950965926921105e-01,1.409832235600435357e+00,9.999874904663370589e-01,-5.624757698888263602e-02
5.000000000000000278e-02,6.001158034576504763e-01,2.288505566138488156e-01,8.733088990808959284e-01,1.410141842640326715e+00,9.999850997322392576e-01,-5.609634865833075523e-02
5.200000000000000455e-02,6.001259360340971405e-01,2.287076769439363999e-01,8.733231469958263604e-01,1.410451523468867041e+00,9.999823782164392050e-01,-5.597287068128913023e-02
5.399999999999999939e-02,6.001365058615694137e-01,2.285647631514697020e-01,8.733378923148878981e-01,1.410761278255451057e+00,9.999792961506106526e-01,-5.583966529126292017e-02
5.600000000000000117e-02,6.001475141310176342e-01,2.284218151637543159e-01,8.733530775615875319e-01,1.411071107157638505e+00,9.999758223414068059e-01,-5.563772153326025649e-02
5.800000000000000294e-02,6.001589621708163236e-01,2.282788329137926953e-01,8.733685739130823134e-01,1.411381010320641449e+00,9.999719241529968494e-01,-5.539481359752593259e-02
