t_ps,A_um_inv,Delta_fold_meV,lorentzian,folded_out
0.000000000000000000e+00,1.402423214055054546e+00,2.324439550649999853e-01,2.000000000000000111e-01,0.000000000000000000e+00
5.000000000000000278e-02,1.400736166858736365e+00,2.332077833435999836e-01,2.109066887742177543e-01,0.000000000000000000e+00
1.000000000000000056e-01,1.399096756118909823e+00,2.339470362419999727e-01,2.222512663444151104e-01,0.000000000000000000e+00
1.500000000000000222e-01,1.397506739520196994e+00,2.346612258971999820e-01,2.340122392557445474e-01,0.000000000000000000e+00
2.000000000000000111e-01,1.395967786325077009e+00,2.353499010599999774e-01,2.461610822919455266e-01,0.000000000000000000e+00
2.500000000000000000e-01,1.394481448249043964e+00,2.360126535773999779e-01,2.586619561469194473e-01,0.000000000000000000e+00
3.000000000000000444e-01,1.393049129105837780e+00,2.366491405451999763e-01,2.714719442325020382e-01,0.000000000000000000e+00
3.500000000000000333e-01,1.391672055386170337e+00,2.372590868357999927e-01,2.845412104303630674e-01,0.000000000000000000e+00
4.000000000000000222e-01,1.390351247425052117e+00,2.378423000340000038e-01,2.978136827250681407e-01,0.000000000000000000e+00
4.500000000000000111e-01,1.389087493355446679e+00,2.383986774899999883e-01,3.112278915454350647e-01,0.000000000000000000e+00
5.000000000000000000e-01,1.387881326491803069e+00,2.389282207727999874e-01,3.247182909261885353e-01,0.000000000000000000e+00
5.500000000000000444e-01,1.386733008173087311e+00,2.394310356017999852e-01,3.382165132333857516e-01,0.000000000000000000e+00
6.000000000000000888e-01,1.385642515789174078e+00,2.399073408659999906e-01,3.516530663993758798e-01,0.000000000000000000e+00
6.500000000000000222e-01,1.384609537863901396e+00,2.403574651367999804e-01,3.649588572491827554e-01,0.000000000000000000e+00
7.000000000000000666e-01,1.383633475476499841e+00,2.407818488358000053e-01,3.780669359069605551e-01,0.000000000000000000e+00
7.500000000000000000e-01,1.382713450973271918e+00,2.411810401283999705e-01,3.909140576283121615e-01,0.000000000000000000e+00
8.000000000000000444e-01,1.381848323222413022e+00,2.415556838651999882e-01,4.034419187752190106e-01,0.000000000000000000e+00
8.500000000000000888e-01,1.381036708059216522e+00,2.419065167645999825e-01,4.155984189234509518e-01,0.000000000000000000e+00
9.000000000000000222e-01,1.380277004056595480e+00,2.422343563032000047e-01,4.273385056760297673e-01,0.000000000000000000e+00
9.500000000000000666e-01,1.379567421879676736e+00,2.425400846657999876e-01,4.386245755161285453e-01,0.000000000000000000e+00
1.000000000000000000e+00,1.378906015364442350e+00,2.428246385375999739e-01,4.494268021398539203e-01,0.000000000000000000e+00
1.050000000000000044e+00,1.378290714028777453e+00,2.430889992462000049e-01,4.597232269295802864e-01,0.000000000000000000e+00
1.100000000000000089e+00,1.377719356020685293e+00,2.433341704428000074e-01,4.694991137449487373e-01,0.000000000000000000e+00
1.150000000000000133e+00,1.377189718389961959e+00,2.435611761293999811e-01,4.787468701966554052e-01,0.000000000000000000e+00
1.200000000000000178e+00,1.376699547088870546e+00,2.437710414719999885e-01,4.874651167528759599e-01,0.000000000000000000e+00
1.250000000000000000e+00,1.376246583084391961e+00,2.439647851271999901e-01,4.956580652715326107e-01,0.000000000000000000e+00
1.300000000000000044e+00,1.375828585890611411e+00,2.441434088129999791e-01,5.033346859936883577e-01,0.000000000000000000e+00
1.350000000000000089e+00,1.375443353616530251e+00,2.443078930302000074e-01,5.105080701799008525e-01,0.000000000000000000e+00
