t_ps,A_um_inv,Delta_fold_meV,lorentzian,folded_out
0.000000000000000000e+00,1.402423214055054546e+00,2.324439550649999853e-01,1.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000278e-02,1.403888827562727482e+00,2.317777953816000103e-01,9.967254192599896978e-01,0.000000000000000000e+00
1.000000000000000056e-01,1.405331758923566321e+00,2.311195619190000161e-01,9.871810009310373335e-01,0.000000000000000000e+00
1.500000000000000222e-01,1.406727498067898541e+00,2.304805770551999755e-01,9.722533365951488982e-01,0.000000000000000000e+00
2.000000000000000111e-01,1.408055314186575924e+00,2.298705766583999943e-01,9.532647759433273693e-01,0.000000000000000000e+00
2.500000000000000000e-01,1.409299905148877707e+00,2.292969166649999890e-01,9.316878440408750128e-01,0.000000000000000000e+00
3.000000000000000444e-01,1.410451901460150426e+00,2.287642860222000030e-01,9.088926169453234172e-01,0.000000000000000000e+00
3.500000000000000333e-01,1.411507377938616026e+00,2.282748711905999706e-01,8.859921821659867414e-01,0.000000000000000000e+00
4.000000000000000222e-01,1.412466775030612576e+00,2.278288266881999813e-01,8.637926468921484080e-01,0.000000000000000000e+00
4.500000000000000111e-01,1.413333646990363679e+00,2.274248217948000028e-01,8.428143623766849446e-01,0.000000000000000000e+00
5.000000000000000000e-01,1.414113514596734511e+00,2.270605655603999684e-01,8.233480128562880029e-01,0.000000000000000000e+00
5.500000000000000444e-01,1.414812954127465883e+00,2.267332277406000074e-01,8.055172193991946283e-01,0.000000000000000000e+00
6.000000000000000888e-01,1.415438942312725601e+00,2.264397389165999919e-01,7.893330520257689775e-01,0.000000000000000000e+00
6.500000000000000222e-01,1.415998420779810862e+00,2.261770106885999665e-01,7.747371637480228168e-01,0.000000000000000000e+00
7.000000000000000666e-01,1.416498032400788976e+00,2.259420573569999868e-01,7.616315929167110088e-01,0.000000000000000000e+00
7.500000000000000000e-01,1.416943975077330942e+00,2.257320727985999975e-01,7.498992225937406442e-01,0.000000000000000000e+00
8.000000000000000444e-01,1.417341935403841680e+00,2.255444645435999707e-01,7.394166118854853531e-01,0.000000000000000000e+00
8.500000000000000888e-01,1.417697071754596250e+00,2.253768728039999836e-01,7.300622316024908409e-01,0.000000000000000000e+00
9.000000000000000222e-01,1.418014028700994800e+00,2.252271580313999766e-01,7.217203667822755797e-01,0.000000000000000000e+00
9.500000000000000666e-01,1.418296965615515992e+00,2.250934002348000118e-01,7.142839614321347952e-01,0.000000000000000000e+00
1.000000000000000000e+00,1.418549595597631496e+00,2.249738822825999851e-01,7.076554505779792947e-01,0.000000000000000000e+00
1.050000000000000044e+00,1.418775226834753544e+00,2.248670673719999902e-01,7.017465554018730289e-01,0.000000000000000000e+00
1.100000000000000089e+00,1.418976802423176142e+00,2.247715845719999994e-01,6.964780784645688838e-01,0.000000000000000000e+00
1.150000000000000133e+00,1.419156938837497828e+00,2.246862096131999886e-01,6.917791579353319564e-01,0.000000000000000000e+00
1.200000000000000178e+00,1.419317960978732751e+00,2.246098583009999983e-01,6.875870488384830947e-01,0.000000000000000000e+00
1.250000000000000000e+00,1.419461936046969575e+00,2.245415617595999946e-01,6.838458056675991159e-01,0.000000000000000000e+00
1.300000000000000044e+00,1.419590701837920577e+00,2.244804565236000193e-01,6.805057295247570748e-01,0.000000000000000000e+00
1.350000000000000089e+00,1.419705892632280086e+00,2.244257726178000012e-01,6.775226757415916401e-01,0.000000000000000000e+00
1.400000000000000133e+00,1.419808962149292419e+00,2.243768295407999880e-01,6.748577800028602303e-01,0.000000000000000000e+00
1.450000000000000178e+00,1.419901205295688307e+00,2.243330165874000137e-01,6.724763280840243551e-01,0.000000000000000000e+00
1.500000000000000000e+00,1.419983775250366786e+00,2.242937858915999838e-01,6.703473239945564321e-01,0.000000000000000000e+00
1.550000000000000044e+00,1.420057698742433594e+00,2.242586584079999945e-01,6.684437630000014119e-01,0.000000000000000000e+00
1.600000000000000089e+00,1.420123892398091225e+00,2.242271953991999689e-01,6.667410396470283551e-01,0.000000000000000000e+00
1.650000000000000133e+00,1.420183172588262766e+00,2.241990145241999910e-01,6.652177809114564466e-01,0.000000000000000000e+00
1.700000000000000178e+00,1.420236268637358412e+00,2.241737714736000142e-01,6.638548177454730581e-01,0.000000000000000000e+00
1.750000000000000000e+00,1.420283831835629895e+00,2.241511519410000208e-01,6.626347243935606368e-01,0.000000000000000000e+00
1.800000000000000044e+00,1.420326442566941294e+00,2.241308866176000003e-01,6.615426035374400993e-01,0.000000000000000000e+00
1.850000000000000089e+00,1.420364620613263407e+00,2.241127286201999858e-01,6.605648483986570341e-01,0.000000000000000000e+00
