alpha_over_ac,delta_phys,delta_unst
0.000000000000000000e+00,1.000000000000000000e+00,nan
6.677852348993289743e-03,9.966017414079999526e-01,nan
1.335570469798657949e-02,9.931951692079999949e-01,nan
2.003355704697986489e-02,9.897802096969999797e-01,nan
2.671140939597315897e-02,9.863567879750000378e-01,nan
3.338926174496644611e-02,9.829248279169999769e-01,nan
4.006711409395972978e-02,9.794842521809999925e-01,nan
4.674496644295302039e-02,9.760349821039999707e-01,nan
5.342281879194631794e-02,9.725769377549999817e-01,nan
6.010067114093959467e-02,9.691100378639999624e-01,nan
6.677852348993289222e-02,9.656341997559999557e-01,nan
7.345637583892618283e-02,9.621493393660000004e-01,nan
8.013422818791945956e-02,9.586553712190000187e-01,nan
8.681208053691276405e-02,9.551522083440000532e-01,nan
9.348993288590604078e-02,9.516397622640000442e-01,nan
1.001677852348993314e-01,9.481179429410000470e-01,nan
1.068456375838926359e-01,9.445866587229999611e-01,nan
1.135234899328859126e-01,9.410458164220000254e-01,nan
1.202013422818791893e-01,9.374953211430000488e-01,nan
1.268791946308724938e-01,9.339350761319999972e-01,nan
1.335570469798657844e-01,9.303649831639999590e-01,nan
1.402348993288590473e-01,9.267849418970000031e-01,nan
1.469127516778523657e-01,9.231948503719999977e-01,nan
1.535906040268456563e-01,9.195946046490000025e-01,nan
1.602684563758389191e-01,9.159840988059999578e-01,nan
1.669463087248322375e-01,9.123632249190000154e-01,nan
1.736241610738255281e-01,9.087318730110000020e-01,nan
1.803020134228187910e-01,9.050899309990000363e-01,nan
1.869798657718120816e-01,9.014372846410000362e-01,nan
1.936577181208053999e-01,8.977738174730000020e-01,nan
2.003355704697986628e-01,8.940994106040000000e-01,nan
2.070134228187919534e-01,8.904139428799999756e-01,nan
2.136912751677852718e-01,8.867172907339999632e-01,nan
2.203691275167785346e-01,8.830093280649999876e-01,nan
2.270469798657718252e-01,8.792899260159999786e-01,nan
2.337248322147651158e-01,8.755589533950000058e-01,nan
2.404026845637583787e-01,8.718162760780000520e-01,nan
2.470805369127516971e-01,8.680617571390000231e-01,nan
2.537583892617449877e-01,8.642952567760000537e-01,nan
2.604362416107382505e-01,8.605166322230000109e-01,nan
2.671140939597315689e-01,8.567257374519999802e-01,nan
2.737919463087248317e-01,8.529224234479999556e-01,nan
2.804697986577180946e-01,8.491065379809999980e-01,nan
2.871476510067114130e-01,8.452779251090000168e-01,nan
2.938255033557047313e-01,8.414364256590000091e-01,nan
3.005033557046979942e-01,8.375818768620000299e-01,nan
3.071812080536913125e-01,8.337141120779999470e-01,nan
3.138590604026846309e-01,8.298329608490000453e-01,nan
3.205369127516778383e-01,8.259382487869999512e-01,nan
3.272147651006711566e-01,8.220297974439999544e-01,nan
3.338926174496644750e-01,8.181074239660000025e-01,4.540642000000000088e-06
3.405704697986577378e-01,8.141709410509999634e-01,1.289315300000000025e-05
3.472483221476510562e-01,8.102201572189999812e-01,2.092428199999999964e-05
3.539261744966443746e-01,8.062548759850000080e-01,2.865222700000000041e-05
3.606040268456375819e-01,8.022748957090000133e-01,3.609383999999999932e-05
3.672818791946309003e-01,7.982800103170000217e-01,4.326474399999999967e-05
3.739597315436241631e-01,7.942700081639999521e-01,5.017944699999999790e-05
3.806375838926174815e-01,7.902446721720000067e-01,5.685143699999999702e-05
3.873154362416107999e-01,7.862037793360000526e-01,6.329327500000000431e-05
3.939932885906041182e-01,7.821471016609999882e-01,6.951666699999999434e-05
4.006711409395973256e-01,7.780744040870000156e-01,7.553253799999999954e-05
4.073489932885906439e-01,7.739854461409999553e-01,8.135109899999999833e-05
4.140268456375839068e-01,7.698799800650000247e-01,8.698189999999999470e-05
4.207046979865772252e-01,7.657577515860000128e-01,9.243388500000000176e-05
4.273825503355705435e-01,7.616184995079999798e-01,9.771543900000000300e-05
4.340604026845638064e-01,7.574619549319999701e-01,1.028344300000000013e-04
4.407382550335570692e-01,7.532878419209999565e-01,1.077982500000000042e-04
4.474161073825503321e-01,7.490958760260000293e-01,1.126138489999999964e-04
4.540939597315436504e-01,7.448857647109999869e-01,1.172877689999999939e-04
4.607718120805369688e-01,7.406572063520000526e-01,1.218261710000000033e-04
4.674496644295302317e-01,7.364098910980000356e-01,1.276519490000000041e-04
4.741275167785235500e-01,7.321434992590000190e-01,1.577726720000000049e-04
4.808053691275167574e-01,7.278577011160000110e-01,1.870549680000000098e-04
4.874832214765100757e-01,7.235521568189999808e-01,2.155333649999999896e-04
4.941610738255033941e-01,7.192265163959999930e-01,2.432405179999999991e-04
5.008389261744966570e-01,7.148804178909999862e-01,2.838005119999999736e-04
5.075167785234899753e-01,7.105134875740000133e-01,3.286359950000000089e-04
5.141946308724832937e-01,7.061253402689999792e-01,3.723030549999999865e-04
5.208724832214765010e-01,7.017155766779999970e-01,4.307718689999999830e-04
5.275503355704698194e-01,6.972837856210000185e-01,4.892306369999999517e-04
5.342281879194631378e-01,6.928295405150000086e-01,5.593459199999999479e-04
5.409060402684564561e-01,6.883524006500000292e-01,6.321880669999999482e-04
5.475838926174496635e-01,6.838519090639999520e-01,7.178757480000000270e-04
5.542617449664429818e-01,6.793275927819999449e-01,8.107719280000000393e-04
5.609395973154361892e-01,6.747789620580000314e-01,9.122719579999999471e-04
5.676174496644295075e-01,6.702055080419999644e-01,1.024011067999999964e-03
5.742953020134228259e-01,6.656067038620000487e-01,1.147061325000000003e-03
5.809731543624161443e-01,6.609820013860000509e-01,1.282121751000000033e-03
5.876510067114094626e-01,6.563308317470000208e-01,1.429634434999999936e-03
5.943288590604026700e-01,6.516526042760000248e-01,1.589859313999999937e-03
6.010067114093959884e-01,6.469467032639999449e-01,1.763822953000000054e-03
6.076845637583893067e-01,6.422124891710000449e-01,1.953976275999999828e-03
6.143624161073826251e-01,6.374492948590000374e-01,2.159198652000000190e-03
6.210402684563758324e-01,6.326564258189999457e-01,2.380943655999999929e-03
6.277181208053692618e-01,6.278331567780000011e-01,2.621105108999999874e-03
6.343959731543623581e-01,6.229787317330000018e-01,2.880105698999999801e-03
6.410738255033556765e-01,6.180923596239999984e-01,3.159477613000000098e-03
6.477516778523489949e-01,6.131732145120000199e-01,3.459511318000000214e-03
6.544295302013423132e-01,6.082204320049999779e-01,3.781577343999999868e-03
6.611073825503356316e-01,6.032331062750000417e-01,4.126780049999999832e-03
6.677852348993289500e-01,5.982102874660000236e-01,4.497030400000000087e-03
6.744630872483221573e-01,5.931509805519999956e-01,4.893291057999999902e-03
6.811409395973154757e-01,5.880541383880000250e-01,5.316856673999999922e-03
6.878187919463087940e-01,5.829186618780000106e-01,5.768677049999999633e-03
6.944966442953021124e-01,5.777433935810000198e-01,6.250652881999999716e-03
7.011744966442954308e-01,5.725271119929999930e-01,6.764537388999999901e-03
7.078523489932887491e-01,5.672685319829999795e-01,7.311688999999999689e-03
7.145302013422818455e-01,5.619662933029999641e-01,7.893388272000000094e-03
7.212080536912751638e-01,5.566189600090000189e-01,8.511803155999999454e-03
7.278859060402684822e-01,5.512250078899999517e-01,9.168820052999999623e-03
7.345637583892618006e-01,5.457828242829999565e-01,9.865900698000000177e-03
7.412416107382551189e-01,5.402906946100000107e-01,1.060551096699999946e-02
7.479194630872483263e-01,5.347467965940000401e-01,1.138949293200000080e-02
7.545973154362416446e-01,5.291491850739999947e-01,1.222025991299999920e-02
7.612751677852349630e-01,5.234957897969999552e-01,1.309999366600000069e-02
7.679530201342282814e-01,5.177843916419999637e-01,1.403130080999999939e-02
7.746308724832215997e-01,5.120126195509999700e-01,1.501675601299999954e-02
7.813087248322149181e-01,5.061779223440000530e-01,1.605936069500000021e-02
7.879865771812082365e-01,5.002775621489999880e-01,1.716190441199999875e-02
7.946644295302013328e-01,4.943085819440000139e-01,1.832775660800000164e-02
8.013422818791946511e-01,4.882677910930000031e-01,1.956032533299999904e-02
8.080201342281879695e-01,4.821517277060000106e-01,2.086326963200000120e-02
8.146979865771812879e-01,4.759566346299999862e-01,2.224074727400000145e-02
8.213758389261744952e-01,4.696784174849999993e-01,2.369711585100000087e-02
8.280536912751678136e-01,4.633126003499999923e-01,2.523690438000000119e-02
8.347315436241611319e-01,4.568542756299999730e-01,2.686544107900000131e-02
8.414093959731544503e-01,4.502980378299999975e-01,2.858837573800000059e-02
8.480872483221477687e-01,4.436379205040000273e-01,3.041181489200000046e-02
8.547651006711410870e-01,4.368672946950000191e-01,3.234266682999999837e-02
8.614429530201342944e-01,4.299787729680000226e-01,3.438852113799999860e-02
8.681208053691276127e-01,4.229640780969999847e-01,3.655798548599999837e-02
8.747986577181209311e-01,4.158138812280000041e-01,3.886045074399999827e-02
8.814765100671141385e-01,4.085176069740000249e-01,4.130686756899999701e-02
8.881543624161073458e-01,4.010631752270000239e-01,4.390939962800000096e-02
8.948322147651006642e-01,3.934367019830000145e-01,4.668221810300000191e-02
9.015100671140939825e-01,3.856220770770000250e-01,4.964156920699999698e-02
9.081879194630873009e-01,3.776004214579999907e-01,5.280662864099999743e-02
9.148657718120806193e-01,3.693493987029999870e-01,5.619984018100000062e-02
9.215436241610739376e-01,3.608422176600000197e-01,5.984820235800000082e-02
