A_over_Ac,Gamma_sch_ps_inv,T_K,Gamma_thermal,Gamma_total
5.000000000000000278e-02,1.821484216139239565e-29,5.000000000000000278e-02,1.145136100856541242e-20,5.295625489996503314e-10
5.452261306532663748e-02,3.643456412954926840e-27,5.376884422110553285e-02,2.792643040418952649e-19,5.295625492674632896e-10
5.904522613065327219e-02,3.257295145427635056e-25,5.753768844221105599e-02,4.481773976505641360e-18,5.295625534699728998e-10
6.356783919597989996e-02,1.544927566434564466e-23,6.130653266331658607e-02,5.112994331541392267e-17,5.295626001181422581e-10
6.809045226130652773e-02,4.409245889697118261e-22,6.507537688442210921e-02,4.399893211405086213e-16,5.295629889775200402e-10
7.261306532663316937e-02,8.323691604552650381e-21,6.884422110552763929e-02,2.991315546211109625e-15,5.295655403037451126e-10
7.713567839195979714e-02,1.117459102205367058e-19,7.261306532663316937e-02,1.666755626915907397e-14,5.295792165444680714e-10
8.165829145728642491e-02,1.128807900750043045e-18,7.638190954773869945e-02,7.839028680465183684e-14,5.296409392750035861e-10
8.618090452261306655e-02,8.971281823882201193e-18,8.015075376884422953e-02,3.187266493013062555e-13,5.298812756375002682e-10
9.070351758793970820e-02,5.813689049138280081e-17,8.391959798994974573e-02,1.142509655309835471e-12,5.307050586435088271e-10
9.522613065326633597e-02,3.162182555540935900e-16,8.768844221105527581e-02,3.669793717583568892e-12,5.332323427057825500e-10
9.974874371859296374e-02,1.478288568243067597e-15,9.145728643216080589e-02,1.070670158124501098e-11,5.402692505694439606e-10
1.042713567839196054e-01,6.057384305602060856e-15,9.522613065326633597e-02,2.869863519801369927e-11,5.582611841862126812e-10
1.087939698492462332e-01,2.211405566450555249e-14,9.899497487437186605e-02,7.136122658284785758e-11,6.009237755710468169e-10
1.133165829145728609e-01,7.292585402209964164e-14,1.027638190954773822e-01,1.659763370530420555e-10,6.955388860412410536e-10
1.178391959798995026e-01,2.197771386764855830e-13,1.065326633165829123e-01,3.636574654610179391e-10,8.932200144492169372e-10
1.223618090452261303e-01,6.113411563490171738e-13,1.103015075376884424e-01,7.551966358203641691e-10,1.284759184808563115e-09
1.268844221105527581e-01,1.583011541774569730e-12,1.140703517587939725e-01,1.494363194151774943e-09,2.023925743139973993e-09
1.314070351758793997e-01,3.843928592637269568e-12,1.178391959798995026e-01,2.830694743382172671e-09,3.360257292370371514e-09
1.359296482412060136e-01,8.808974444975678221e-12,1.216080402010050188e-01,5.153869454218632641e-09,5.683432003206831898e-09
1.404522613065326553e-01,1.915785318779414533e-11,1.253768844221105350e-01,9.051656722075943767e-09,9.581219271064142197e-09
1.449748743718592969e-01,3.973309258048067958e-11,1.291457286432160789e-01,1.538320344625294363e-08,1.591276599524114372e-08
1.494974874371859386e-01,7.892230476416636442e-11,1.329145728643216229e-01,2.536903453729042678e-08,2.589859708627862687e-08
1.540201005025125802e-01,1.507056035535169191e-10,1.366834170854271391e-01,4.069864989570454232e-08,4.122821244469273909e-08
1.585427135678391941e-01,2.775844879040560886e-10,1.404522613065326553e-01,6.365601698105481757e-08,6.418557953004301435e-08
1.630653266331658080e-01,4.946412744944392586e-10,1.442211055276381715e-01,9.726262487682357386e-08,9.779218742581177063e-08
1.675879396984924496e-01,8.550057635122418237e-10,1.479899497487437154e-01,1.454371208946375943e-07,1.459666834436257911e-07
1.721105527638190913e-01,1.437025913829488820e-09,1.517587939698492594e-01,2.131699309255579902e-07,2.136994934745461869e-07
1.766331658291457329e-01,2.353449955358733633e-09,1.555276381909547756e-01,3.067107020686867259e-07,3.072402646176749491e-07
1.811557788944723746e-01,3.762927207196370711e-09,1.592964824120602918e-01,4.337659262624582317e-07,4.342954888114464550e-07
1.856783919597990162e-01,5.884123182306263760e-09,1.630653266331658080e-01,6.037037250299666482e-07,6.042332875789548714e-07
1.902010050251256024e-01,9.012721302880436325e-09,1.668341708542713520e-01,8.277625087626818998e-07,8.282920713116701231e-07
